Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,11.785,11.785,screen dim,5.1363744
0,11.785,11.785,wifi radio,4.299168
0.0,2.2288699999999153,2.2288699999999153,core 0 cpu_idle start,0.0470737343999982
0.0,2.205013999999892,2.205013999999892,core 1 cpu_idle start,0.04656989567999771
0.0,2.203989999999976,2.203989999999976,core 2 cpu_idle start,0.04654826879999949
0.0,2.2088249999999334,2.2088249999999334,core 3 cpu_idle start,0.04665038399999859
0.0,2.2643099999997958,2.2643099999997958,core 4 cpu_idle start,0.04782222719999568
0.0,2.226885999999922,2.226885999999922,core 5 cpu_idle start,0.04703183231999835
0.0,2.2052649999998266,2.2052649999998266,core 6 cpu_idle start,0.04657519679999633
0.0,2.2273559999998724,2.2273559999998724,core 7 cpu_idle start,0.0470417587199973
