Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,17.56,17.56,screen dark,4.7906489599999995
0,17.56,17.56,wifi radio,6.692818399999999
0.0,2.035439999999653,2.035439999999653,core 0 cpu_idle start,0.044914019039992335
2.035439999999653,7.8275030000004335,5.7920630000007804,core 0 cpu_idle,0.1278076621580172
7.8275030000004335,7.8294779999996535,0.0019749999992200173,core 0 cpu_frequency,4.358034998278889e-05
7.8294779999996535,8.17115399999966,0.34167600000000675,core 0 cpu_idle,0.007539422616000147
8.17115399999966,8.175992999999835,0.004839000000174565,core 0 cpu_frequency,0.00010677737400385192
0.0,2.0359010000001945,2.0359010000001945,core 1 cpu_idle start,0.04492419146600428
2.0359010000001945,7.827519000000393,5.791618000000199,core 1 cpu_idle,0.12779784278800435
7.827519000000393,7.827901999999995,0.00038299999960145215,core 1 cpu_frequency,8.451277991205641e-06
7.827901999999995,8.171186000000489,0.3432840000004944,core 1 cpu_idle,0.007574904744010908
8.171186000000489,8.171427000000222,0.000240999999732594,core 1 cpu_frequency,5.317905994099418e-06
0.0,2.0412360000000263,2.0412360000000263,core 2 cpu_idle start,0.04504191357600057
2.0412360000000263,7.82752199999959,5.7862859999995635,core 2 cpu_idle,0.12768018687599034
7.82752199999959,7.827973999999813,0.00045200000022305176,core 2 cpu_frequency,9.973832004921858e-06
7.827973999999813,8.171190000000024,0.34321600000021135,core 2 cpu_idle,0.0075734042560046625
8.171190000000024,8.171530999999959,0.00034099999993486563,core 2 cpu_frequency,7.524505998562743e-06
0.0,2.107369999999719,2.107369999999719,core 3 cpu_idle start,0.04650122641999379
2.107369999999719,7.827524999999696,5.720154999999977,core 3 cpu_idle,0.12622094022999947
7.827524999999696,7.827935999999681,0.0004109999999855063,core 3 cpu_frequency,9.06912599968018e-06
7.827935999999681,8.17119300000013,0.3432570000004489,core 3 cpu_idle,0.007574308962009904
8.17119300000013,8.171471999999994,0.0002789999998640269,core 3 cpu_frequency,6.156413996999616e-06
0.0,2.3206550000004427,2.3206550000004427,core 4 cpu_idle start,0.05120757323000976
2.3206550000004427,7.827127999999902,5.50647299999946,core 4 cpu_idle,0.12150583321798805
7.827127999999902,7.828048999999737,0.0009209999998347485,core 4 cpu_frequency,2.0322785996353557e-05
0.0,2.040538000000197,2.040538000000197,core 5 cpu_idle start,0.04502651150800434
2.040538000000197,7.827412999999979,5.786874999999782,core 5 cpu_idle,0.12769318374999516
7.827412999999979,8.47057599999971,0.6431629999997313,core 5 cpu_frequency,0.014192034757994066
0.0,2.137209000000439,2.137209000000439,core 6 cpu_idle start,0.04715965379400968
2.137209000000439,7.827417999999852,5.690208999999413,core 6 cpu_idle,0.12556015179398702
7.827417999999852,8.040624000000207,0.21320600000035483,core 6 cpu_frequency,0.004704603596007829
0.0,2.0723049999996874,2.0723049999996874,core 7 cpu_idle start,0.04572748212999309
2.0723049999996874,7.827420999999958,5.755116000000271,core 7 cpu_idle,0.12699238965600596
7.827420999999958,7.835393999999724,0.007972999999765307,core 7 cpu_frequency,0.00017593221799482123
