Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,32.334,32.334,screen dim,16.066861602000003
0,32.334,32.334,wifi radio,13.448033940000002
0.0,6.867903000005754,6.867903000005754,core 0 cpu_idle start,0.16537223633713855
0.0,6.86900799999421,6.86900799999421,core 1 cpu_idle start,0.16539884363186058
0.0,6.898925000001327,6.898925000001327,core 2 cpu_idle start,0.16611921507503197
0.0,6.869030000001658,6.869030000001658,core 3 cpu_idle start,0.1653993733700399
0.0,6.868814999994356,6.868814999994356,core 4 cpu_idle start,0.1653941963848641
0.0,7.119149000005564,7.119149000005564,core 5 cpu_idle start,0.17142198877113396
0.0,7.079002999991644,7.079002999991644,core 6 cpu_idle start,0.1704553132367988
0.0,7.239214000001084,7.239214000001084,core 7 cpu_idle start,0.1743130339060261
