Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,31.331,31.331,screen dark,9.327364024000001
0,31.331,31.331,wifi radio,13.03087621
1.3780000000000001,2.459,1.081,audio,0.113582832
1.3780000000000001,2.459,1.081,video,0.326550642
0.0,6.523290999997698,6.523290999997698,core 0 cpu_idle start,0.15707432398894458
0.0,6.513603999999759,6.513603999999759,core 1 cpu_idle start,0.1568410707159942
0.0,6.5131859999964945,6.5131859999964945,core 2 cpu_idle start,0.1568310056939156
0.0,6.543028999993112,6.543028999993112,core 3 cpu_idle start,0.15754959529083415
0.0,6.513153999992937,6.513153999992937,core 4 cpu_idle start,0.15683023516582995
0.0,6.519990999993752,6.519990999993752,core 5 cpu_idle start,0.15699486328884954
0.0,6.518582999997307,6.518582999997307,core 6 cpu_idle start,0.15696096005693513
0.0,6.514289999999164,6.514289999999164,core 7 cpu_idle start,0.15685758890997986
