Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,32.327,32.327,screen dark,9.623877208
0,32.327,32.327,wifi radio,13.445122569999999
0.0,6.725039999997534,6.725039999997534,core 0 cpu_idle start,0.16193223815994062
0.0,6.727582999999868,6.727582999999868,core 1 cpu_idle start,0.16199347105699682
0.0,6.72492400000192,6.72492400000192,core 2 cpu_idle start,0.16192944499604622
0.0,6.725437000000966,6.725437000000966,core 3 cpu_idle start,0.16194179752302326
0.0,6.731315999997605,6.731315999997605,core 4 cpu_idle start,0.16208335796394233
0.0,6.734357000001182,6.734357000001182,core 5 cpu_idle start,0.16215658220302848
0.0,6.7249530000044615,6.7249530000044615,core 6 cpu_idle start,0.16193014328710742
0.0,6.751380000001518,6.751380000001518,core 7 cpu_idle start,0.16256647902003654
