Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,32.881,32.881,screen dim,16.338667543
0,32.881,32.881,wifi radio,13.67553671
2.2720000000000002,2.85,0.5779999999999998,audio,0.06073161599999998
2.2720000000000002,2.85,0.5779999999999998,video,0.17460339599999997
0.0,7.121810999989975,7.121810999989975,core 0 cpu_idle start,0.17148608706875862
0.0,7.119893999988562,7.119893999988562,core 1 cpu_idle start,0.1714399276257246
0.0,7.1200169999938225,7.1200169999938225,core 2 cpu_idle start,0.17144288934285126
0.0,7.120009999984177,7.120009999984177,core 3 cpu_idle start,0.171442720789619
0.0,7.126035999986925,7.126035999986925,core 4 cpu_idle start,0.17158782084368518
0.0,7.179375999985496,7.179375999985496,core 5 cpu_idle start,0.17287219470365076
0.0,7.1302059999870835,7.1302059999870835,core 6 cpu_idle start,0.17168823027368899
0.0,7.176370999994106,7.176370999994106,core 7 cpu_idle start,0.17279983730885806
