Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,32.317,32.317,screen dark,9.620900168
0,32.317,32.317,wifi radio,13.44096347
0.628,1.979,1.351,audio,0.141952272
1.369,1.979,0.6100000000000001,video,0.18427002000000003
0.0,6.489565999996557,6.489565999996557,core 0 cpu_idle start,0.1562622597139171
0.0,6.516131999997015,6.516131999997015,core 1 cpu_idle start,0.15690194242792813
0.0,6.4926439999981085,6.4926439999981085,core 2 cpu_idle start,0.15633637487595445
0.0,6.525222999996913,6.525222999996913,core 3 cpu_idle start,0.15712084461692566
0.0,6.492415000000619,6.492415000000619,core 4 cpu_idle start,0.1563308607850149
0.0,6.492575999996916,6.492575999996916,core 5 cpu_idle start,0.15633473750392574
0.0,6.501085999996576,6.501085999996576,core 6 cpu_idle start,0.15653964979391755
0.0,6.492355000002135,6.492355000002135,core 7 cpu_idle start,0.1563294160450514
