Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,17.011,17.011,screen dim,8.452816933000001
0,17.011,17.011,wifi radio,7.075045009999999
0.0,6.792841999995289,6.792841999995289,core 0 cpu_idle start,0.16356484251788658
0.0,6.794599000000744,6.794599000000744,core 1 cpu_idle start,0.16360714932101791
0.0,6.793974000000162,6.793974000000162,core 2 cpu_idle start,0.1635920999460039
0.0,6.794193000008818,6.794193000008818,core 3 cpu_idle start,0.16359737324721232
0.0,6.792327999995905,6.792327999995905,core 4 cpu_idle start,0.1635524659119014
0.0,7.0196799999976065,7.0196799999976065,core 5 cpu_idle start,0.16902687471994238
0.0,7.019909000009648,7.019909000009648,core 6 cpu_idle start,0.1690323888112323
0.0,6.8408369999961,6.8408369999961,core 7 cpu_idle start,0.1647205141229061
