Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,25.983,25.983,screen dark,7.7352430320000005
0,25.983,25.983,wifi radio,10.80658953
13.737,18.732,4.994999999999999,video,1.50889959
0.0,6.7742250000010245,6.7742250000010245,core 0 cpu_idle start,0.16311656377502468
0.0,6.7780689999999595,6.7780689999999595,core 1 cpu_idle start,0.16320912345099903
0.0,6.772678000001179,6.772678000001179,core 2 cpu_idle start,0.16307931356202837
0.0,6.769953999995778,6.769953999995778,core 3 cpu_idle start,0.16301372236589834
0.0,6.930164999997942,6.930164999997942,core 4 cpu_idle start,0.16687144303495044
0.0,7.219357999994827,7.219357999994827,core 5 cpu_idle start,0.17383492128187544
0.0,6.978559999995923,6.978559999995923,core 6 cpu_idle start,0.16803674623990184
0.0,6.959204999999201,6.959204999999201,core 7 cpu_idle start,0.16757069719498077
