Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,57.669,57.669,screen dim,28.655899107
0,57.669,57.669,wifi radio,23.98511379
0.0,6.513647999992827,6.513647999992827,core 0 cpu_idle start,0.15684213019182727
0.0,6.510714999996708,6.510714999996708,core 1 cpu_idle start,0.15677150648492072
0.0,6.507945999997901,6.507945999997901,core 2 cpu_idle start,0.15670483173394945
0.0,6.509439000001294,6.509439000001294,core 3 cpu_idle start,0.15674078168103114
0.0,6.516204999992624,6.516204999992624,core 4 cpu_idle start,0.1569037001948224
0.0,6.509513999990304,6.509513999990304,core 5 cpu_idle start,0.15674258760576654
0.0,6.509143999996013,6.509143999996013,core 6 cpu_idle start,0.156733678375904
0.0,6.536779999994906,6.536779999994906,core 7 cpu_idle start,0.15739912561987734
