Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,36.915,36.915,screen dark,10.989743160000002
0,36.915,36.915,wifi radio,15.35331765
0.0,6.565762999991421,6.565762999991421,core 0 cpu_idle start,0.1580970072767934
0.0,6.56514399999287,6.56514399999287,core 1 cpu_idle start,0.15808210237582832
0.0,6.5765989999927115,6.5765989999927115,core 2 cpu_idle start,0.1583579273208245
0.0,6.576644999993732,6.576644999993732,core 3 cpu_idle start,0.15835903495484907
0.0,6.5651769999967655,6.5651769999967655,core 4 cpu_idle start,0.1580828969829221
0.0,6.564231999989715,6.564231999989715,core 5 cpu_idle start,0.15806014232775237
0.0,6.574304999987362,6.574304999987362,core 6 cpu_idle start,0.1583026900946957
0.0,6.597255999993649,6.597255999993649,core 7 cpu_idle start,0.15885532722384707
