Trail;Type;App
42.176376;Native;google_maps
34.05996;Native;google_maps
35.219448;Native;google_maps
33.770088;Native;google_maps
33.770088;Native;google_maps
37.103616;Native;google_maps
34.929576;Native;google_maps
39.8574;Native;google_maps
34.494768;Native;google_maps
38.118168;Native;google_maps
36.668808;Native;google_maps
34.349832;Native;google_maps
34.349832;Native;google_maps
56.40192;Native;gmail
37.87776;Native;gmail
36.77184;Native;gmail
42.30144;Native;gmail
51.42528;Native;gmail
40.845924;Native;gmail
30.186288;Native;gmail
29.897424;Native;gmail
29.897424;Native;gmail
29.856816;Native;gmail
28.552392;Native;gmail
29.422008;Native;gmail
28.9872;Native;gmail
29.132136;Native;gmail
28.842264;Native;gmail
30.43656;Native;gmail
29.132136;Native;gmail
34.349832;Native;gmail
28.9872;Native;gmail
33.33528;Native;gmail
65.664;Native;google_keep
63.03744;Native;google_keep
74.78784;Native;google_keep
80.73216;Native;google_keep
61.37856;Native;google_keep
60.96384;Native;google_keep
69.94944;Native;google_keep
63.45216;Native;google_keep
48.79872;Native;google_keep
79.446024;Native;google_keep
47.229264;Native;google_keep
52.690824;Native;google_keep
45.944712;Native;google_keep
45.65484;Native;google_keep
46.814328;Native;google_keep
47.1042;Native;google_keep
45.799776;Native;google_keep
46.959264;Native;google_keep
45.944712;Native;google_keep
46.234584;Native;google_keep
28.89216;Native;youtube
40.0896;Native;youtube
34.42176;Native;youtube
39.12192;Native;youtube
61.10208;Native;youtube
29.616804;Native;youtube
29.47644;Native;youtube
36.073548;Native;youtube
29.757168;Native;youtube
26.431056;Native;youtube
23.83128;Native;youtube
29.752992;Native;youtube
24.041988;Native;youtube
23.334696;Native;youtube
24.494184;Native;youtube
24.204312;Native;youtube
24.928992;Native;youtube
24.494184;Native;youtube
25.3638;Native;youtube
23.624568;Native;youtube
15.8976;Native;netflix
20.736;Native;netflix
15.34464;Native;netflix
20.32128;Native;netflix
14.5152;Native;netflix
14.23872;Native;netflix
17.28;Native;netflix
17.28;Native;netflix
24.8832;Native;netflix
11.987856;Native;netflix
12.2905728;Native;netflix
11.7977904;Native;netflix
11.9717136;Native;netflix
16.957512;Native;netflix
12.4355088;Native;netflix
12.7398744;Native;netflix
13.261644;Native;netflix
12.3630408;Native;netflix
12.971772;Native;netflix
18.696744;Native;netflix
47.13984;Native;spotify
47.83104;Native;spotify
46.44864;Native;spotify
66.3552;Native;spotify
59.4432;Native;spotify
68.98176;Native;spotify
27.50976;Native;spotify
31.160808;Native;spotify
24.142608;Native;spotify
23.83128;Native;spotify
24.349248;Native;spotify
23.334696;Native;spotify
23.18976;Native;spotify
25.073928;Native;spotify
23.334696;Native;spotify
24.059376;Native;spotify
24.204312;Native;spotify
23.769504;Native;spotify
28.9872;Native;spotify
30.146688;Native;spotify
65.80224;Native;tiktok
47.83104;Native;tiktok
56.81664;Native;tiktok
47.55456;Native;tiktok
40.986288;Native;tiktok
42.951384;Native;tiktok
43.185168;Native;tiktok
31.88592;Native;tiktok
39.712464;Native;tiktok
36.813744;Native;tiktok
33.625152;Native;tiktok
41.741568;Native;tiktok
39.567528;Native;tiktok
41.451696;Native;tiktok
37.828296;Native;tiktok
40.871952;Native;tiktok
36.234;Native;tiktok
39.422592;Native;tiktok
41.30676;Native;tiktok
42.321312;Native;tiktok
31.93344;Native;twitter
22.94784;Native;twitter
21.28896;Native;twitter
22.39488;Native;twitter
21.4272;Native;twitter
29.0304;Native;twitter
44.78976;Native;twitter
22.1184;Native;twitter
25.26552;Native;twitter
20.773872;Native;twitter
24.697872;Native;twitter
17.765136;Native;twitter
24.204312;Native;twitter
18.261936;Native;twitter
18.261936;Native;twitter
18.696744;Native;twitter
18.551808;Native;twitter
19.276488;Native;twitter
19.56636;Native;twitter
18.696744;Native;twitter
