Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,80.369,80.369,screen dark,22.002460392
0,80.369,80.369,wifi radio,30.738731429999998
0.0,1.2577209999999468,1.2577209999999468,core 0 cpu_idle start,0.027849716102998818
0.0,1.2586209999990388,1.2586209999990388,core 1 cpu_idle start,0.02786964480297871
0.0,1.2576069999995525,1.2576069999995525,core 2 cpu_idle start,0.027847191800990087
0.0,1.2618179999990389,1.2618179999990389,core 3 cpu_idle start,0.027940435973978713
0.0,1.2586219999993773,1.2586219999993773,core 4 cpu_idle start,0.027869666945986207
0.0,1.4839539999993576,1.4839539999993576,core 5 cpu_idle start,0.03285919342198577
0.0,2.052048999999897,2.052048999999897,core 6 cpu_idle start,0.04543852100699772
0.0,1.2926539999989473,1.2926539999989473,core 7 cpu_idle start,0.028623237521976683
