Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,80.816,80.816,screen dim,35.22284544
0,80.816,80.816,wifi radio,29.481676800000002
0.0,1.2583460000005289,1.2583460000005289,core 0 cpu_idle start,0.026576267520011167
0.0,1.256850000000668,1.256850000000668,core 1 cpu_idle start,0.0265446720000141
0.0,1.267703000000438,1.267703000000438,core 2 cpu_idle start,0.026773887360009244
0.0,1.2549779999999373,1.2549779999999373,core 3 cpu_idle start,0.026505135359998672
0.0,1.295524000000114,1.295524000000114,core 4 cpu_idle start,0.027361466880002405
0.0,2.1531519999998636,2.1531519999998636,core 5 cpu_idle start,0.04547457023999711
0.0,1.2956590000003416,1.2956590000003416,core 6 cpu_idle start,0.02736431808000721
0.0,2.37462400000004,2.37462400000004,core 7 cpu_idle start,0.050152058880000835
