Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,27.497,27.497,screen dim,11.98429248
0,27.497,27.497,wifi radio,10.0309056
0.0,1.3579059999999572,1.3579059999999572,core 0 cpu_idle start,0.02867897471999909
0.0,1.4164009999999507,1.4164009999999507,core 1 cpu_idle start,0.029914389119998955
0.0,1.4205959999999322,1.4205959999999322,core 2 cpu_idle start,0.030002987519998563
0.0,1.416492000000062,1.416492000000062,core 3 cpu_idle start,0.029916311040001305
0.0,1.3632770000001528,1.3632770000001528,core 4 cpu_idle start,0.028792410240003223
0.0,1.3582030000000032,1.3582030000000032,core 5 cpu_idle start,0.02868524736000006
0.0,1.3639490000000478,1.3639490000000478,core 6 cpu_idle start,0.028806602880001007
0.0,1.3581289999999626,1.3581289999999626,core 7 cpu_idle start,0.028683684479999205
