Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.932,26.932,screen dark,7.347480512
0,26.932,26.932,wifi radio,10.26486248
0.0,1.5690040000008594,1.5690040000008594,core 0 cpu_idle start,0.034621642264018954
0.0,1.5691120000010415,1.5691120000010415,core 1 cpu_idle start,0.03462402539202297
0.0,1.5692660000004253,1.5692660000004253,core 2 cpu_idle start,0.034627423556009375
0.0,1.5690360000007786,1.5690360000007786,core 3 cpu_idle start,0.03462234837601717
0.0,1.568966000000728,1.568966000000728,core 4 cpu_idle start,0.034620803756016054
0.0,1.5702170000004116,1.5702170000004116,core 5 cpu_idle start,0.03464840832200908
0.0,1.5806710000006206,1.5806710000006206,core 6 cpu_idle start,0.03487908628601369
0.0,1.5878200000006473,1.5878200000006473,core 7 cpu_idle start,0.03503683612001428
